TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
120.511564626,-183.805,28.3736,-9.70799,1.92123,-3.51876,10.9044,-4.93459,4.22483,6.27589,0.923875,-3.52961,3.46593,4.6629,-2.29655,-0.399645,-0.661039,-3.95831,0.378655,1.01939,-2.59127,0.594912
120.534784580,-174.974,22.5962,-16.8311,4.46598,3.40609,13.2439,-9.00474,-0.335554,7.70247,2.72614,3.93012,9.56356,2.94168,-2.69791,-0.374295,1.2414,-5.12154,-1.44256,2.91829,-4.99182,2.11608
120.558004535,-173.819,23.9851,-18.829,6.37209,8.30531,10.8913,-8.91528,0.416511,9.04072,2.28697,4.34918,6.12072,-1.3682,-3.47133,0.799732,2.29538,-3.42866,-1.77163,-0.261487,-1.41297,3.63117
120.581224490,-175.662,21.307,-19.3636,9.41556,8.85226,10.3154,-8.29989,0.99665,8.60255,0.726599,3.43029,6.45282,-3.1159,-1.6596,1.81567,2.24413,-2.88049,-2.73411,-1.45087,-1.99255,3.49045
120.604444444,-181.987,20.8934,-19.2323,11.614,7.77707,8.15777,-12.8043,1.2024,8.22601,4.32093,4.4685,8.50572,-1.17403,-1.77252,1.38837,-1.0073,-3.96938,-2.65169,0.434481,-0.921322,1.57214
120.627664399,-190.253,21.2825,-17.1665,12.6837,5.84697,9.40172,-12.2963,2.37306,9.23345,4.64868,7.72993,8.5544,1.37402,-2.73429,1.81155,-2.77606,-4.02625,-3.54571,-0.857168,-0.13249,0.332105
120.650884354,-138.347,-21.7827,3.97787,8.76728,7.16608,9.68025,-4.77656,-1.53896,9.19774,6.78692,5.14711,4.35477,1.09496,-2.03056,-1.20629,-0.946823,-3.91758,-1.92382,1.16175,0.273481,0.195304
120.674104308,-157.203,-4.67657,1.38996,5.40746,8.46546,8.07623,-7.58666,-2.02427,9.26103,2.85402,3.78843,5.12094,-0.933892,-1.67091,-0.794804,0.404185,-1.19574,-0.0832897,1.13707,0.286532,0.438021
120.697324263,-184.84,9.12243,2.55127,6.27426,6.24151,5.30088,-5.68738,2.53057,9.59791,-0.730874,2.13277,5.90787,0.67676,-1.81501,-1.11145,-0.284472,-0.507408,1.36335,-0.154743,-0.947823,2.31155
120.720544218,-195.482,19.0327,4.16614,4.61049,7.25343,6.2095,-5.21899,6.16219,5.52982,-2.27446,-0.0034728,3.84393,1.27948,0.241663,-3.08895,-2.08828,-0.642336,2.24482,0.53844,1.07766,2.9586
120.743764172,-181.115,-0.413942,16.181,5.06558,-0.427038,9.31544,-6.24429,5.39983,3.48019,1.46722,2.0238,3.58372,2.4301,1.10711,-1.72808,-2.08079,-1.39906,2.14573,-1.58616,0.162984,-0.765687
120.766984127,-182.986,-5.62884,19.502,3.96856,2.97881,10.4852,-8.90106,7.99488,3.88426,2.83788,2.99098,3.75003,1.80744,0.620049,-3.56085,-2.78636,0.296681,3.03081,-1.18176,-0.930197,-0.355604
120.790204082,-171.61,-3.41633,12.7564,6.5869,-3.82757,10.7312,-2.37291,8.78422,5.21023,1.94407,-0.0919299,1.89509,4.50783,1.28048,-2.72681,-2.12567,-1.99196,0.800871,-0.280924,0.689994,1.35887
120.813424036,-165.18,13.1967,-10.3222,10.6133,-2.53808,8.40406,-3.78678,8.05661,2.89929,-0.25074,-0.401517,4.22409,4.56878,-0.894607,-1.32932,-4.02715,-2.73876,0.818551,4.32317,2.36218,3.02715
120.836643991,-189.209,24.6219,-5.67717,4.43319,-2.06382,10.4413,-6.65725,9.80884,6.47854,-1.28404,-1.91408,3.40597,3.66954,2.43119,2.63696,-3.10859,-4.15535,-2.82586,4.05887,3.59025,1.80493
120.859863946,-205.703,23.6517,3.65498,5.34305,2.62938,8.93147,-4.3187,5.9004,4.5558,0.200692,2.81453,2.90512,-0.350355,0.58669,-1.74638,1.44884,-1.20064,1.64611,-1.23494,-0.179547,1.23954
120.883083900,-213.575,24.1058,4.29316,5.73094,1.39352,9.45558,-5.92844,5.61458,5.08009,0.492749,3.31349,3.53377,-0.911032,0.953641,-1.63502,-0.536908,-0.729218,2.82587,-1.77983,-0.669987,1.417
120.906303855,-137.19,4.54407,15.7663,4.15259,2.78059,0.958354,1.49378,3.1895,1.43953,1.70341,0.424532,2.48637,-0.474955,-2.48269,-1.2806,1.15242,1.4578,-1.03438,-1.42292,-0.303596,-1.53228
