"Track.URI","Track.Name","Album.Name","Artist.Name.s.","Release.Date","Duration..ms.","Popularity","Explicit","Added.By","Added.At","Genres","Record.Label","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time.Signature","region","highlight"
"spotify:track:6S5SJlNXgrUBTLa58NMwGk","2 Of Amerikaz Most Wanted","Greatest Hits","2Pac;Snoop Dogg","1998-01-01",246666,59,"true","warriorkid3000","2021-09-29T05:56:26Z","old school hiphop,gangsterrap,west coast hiphop,g funk,hiphop,rap","2Pac Greatest Hits",0.853,0.876,1,-3.415,1,0.131,0.0426,0.00202,0.0548,0.845,99.236,4,"west","no"
"spotify:track:377UbxXV2YEA28V4Go9aDw","Can't C Me","All Eyez On Me","2Pac","2005-03-08",330760,0,"true","warriorkid3000","2021-09-29T05:56:50Z","old school hiphop,gangsterrap,west coast hiphop,g funk,hiphop","eOne Music",0.797,0.852,0,-2.234,1,0.172,0.0432,3.97e-06,0.409,0.674,95.416,4,"west","no"
"spotify:track:7lgvU7WnwcNZ8dbGUz8yhP","Bitch Please II","The Marshall Mathers LP","Eminem;Dr. Dre;Snoop Dogg;Xzibit;Nate Dogg","2000-05-23",288200,71,"true","warriorkid3000","2021-09-29T05:56:58Z","rap,hiphop,old school hiphop,g funk,gangsterrap,west coast hiphop,hardcore hiphop","Eminem Catalog PS",0.918,0.586,1,-2.89,1,0.133,0.0783,0,0.145,0.779,95.517,4,"west","no"
"spotify:track:4fukZMkYV1JgJ68NegVLtN","Dope Man","N.W.A. And The Posse","N.W.A.","1987-01-01",378373,56,"true","warriorkid3000","2021-09-29T05:57:45Z","old school hiphop,gangsterrap,west coast hiphop,hiphop,rap,g funk","Priority Records",0.773,0.735,11,-9.461,0,0.305,0.0288,0,0.19,0.818,176.415,4,"west","no"
"spotify:track:5f7F8ovtEmFzOdyN5fTOKl","San Andreas Theme Song","San Andreas Original Mixtape","Young Maylay","2005-01-01",86546,0,"true","warriorkid3000","2021-10-01T15:52:56Z","","MAYLAYNIUM MUZIQ",0.52,0.836,5,-7.13,0,0.213,0.0164,0,0.19,0.486,96.855,4,"west","no"
"spotify:track:04fX3oTJm5Zucg3Uf9aix0","Fuck Wit Dre Day (And Everybody's Celebratin')","The Chronic","Dr. Dre","1992-12-15",292186,0,"true","warriorkid3000","2021-10-01T19:19:23Z","old school hiphop,g funk,gangsterrap,west coast hiphop,hiphop,rap","Death Row Records",0.75,0.706,7,-7.461,1,0.156,0.088,0,0.535,0.59,93.603,4,"west","no"
"spotify:track:28SF0lKRqso9SSTDpbv991","Foe Life","Mack 10","Mack 10;Ice Cube","1995-01-01",253800,51,"true","warriorkid3000","2021-10-01T19:20:28Z","g funk,west coast hiphop,gangsterrap,old school hiphop,hiphop","Priority Records",0.917,0.665,8,-6.053,1,0.0924,0.0816,0,0.196,0.808,91.082,4,"west","no"
"spotify:track:4xkOaSrkexMciUUogZKVTS","Till I Collapse","The Eminem Show","Eminem;Nate Dogg","2002-05-26",297786,85,"true","warriorkid3000","2022-03-23T05:47:15Z","rap,hiphop,g funk,west coast hiphop,old school hiphop","Eminem Catalog PS",0.548,0.847,1,-3.237,1,0.186,0.0622,0,0.0816,0.1,171.447,4,"west","no"
"spotify:track:4voEoczU7Ijborps9XF1n3","I Get Around","Strictly 4 My N.I.G.G.A.Z...","2Pac;Digital Underground","1993-02-16",259000,67,"true","warriorkid3000","2022-03-23T05:50:32Z","old school hiphop,gangsterrap,west coast hiphop,g funk,hiphop","Interscope",0.846,0.416,10,-13.767,0,0.118,0.156,9.34e-06,0.238,0.645,96.188,4,"west","no"
"spotify:track:3vQir0wkIdLGq3Lc4V6J2y","Chin Check","The Best Of N.W.A: The Strength Of Street Knowledge","N.W.A.","2006-12-26",221373,64,"true","warriorkid3000","2023-01-12T05:56:19Z","old school hiphop,gangsterrap,west coast hiphop,hiphop,rap,g funk","Priority Records",0.906,0.775,2,-5.775,1,0.268,0.0831,2.74e-05,0.15,0.838,100.054,4,"west","no"
