Track URI,Track Name,Album Name,Artist_Name,Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,region
spotify:track:0B8drtTSp68pZdkmVrG9ZA,Twinz (Deep Cover 98) (feat. Fat Joe),Capital Punishment,Big Pun;Fat Joe,1998-04-28,228173,67,TRUE,m-airon,2024-11-09T20:15:47Z,"east coast hiphop,old school hiphop,hardcore hiphop",LOUD Records,0.634,0.763,0,-7.216,1,0.323,0.32,3.4e-6,0.237,0.519,94.981,4,east
spotify:track:6904O7JrAxFybd4yu3Sz2V,Stop Being Greedy,It's Dark And Hell Is Hot,DMX,1998-05-01,216906,55,TRUE,m-airon,2022-04-15T17:19:45Z,"east coast hiphop,old school hiphop,hardcore hiphop",Def Jam Recordings,0.677,0.703,10,-5.986,0,0.215,0.00975,0,0.154,0.137,101.576,4,east
spotify:track:2KFg8kjYy0rYjWsXGhEQHN,Who Shot Ya? - 2005 Remaster,Ready to Die (The Remaster),The Notorious B.I.G.,1994-09-13,319360,67,TRUE,m-airon,2019-04-05T00:06:19Z,"old school hiphop,gangsterrap,east coast hiphop,hiphop",Bad Boy Records,0.831,0.682,7,-5.697,1,0.238,0.256,0,0.494,0.6,91.771,4,east
spotify:track:34FtO3yhuV4TD4u6axnyCL,Fall Back (feat. Kool G Rap),The Big Picture,Big L;Kool G Rap,2016-07-15,169133,52,TRUE,m-airon,2024-10-16T14:24:44Z,"east coast hiphop,old school hiphop,hardcore hiphop,boombap,hiphop,horrorcore",RBC Records,0.614,0.789,6,-5.475,0,0.318,0.0546,3.54e-5,0.239,0.556,100.997,4,east
spotify:track:4hjxVY7QYNDmOclMny7hVY,Dead Presidents II,Reasonable Doubt,JAŸ-Z,1996-06-25,266066,54,TRUE,m-airon,2022-03-27T17:28:40Z,"hiphop,east coast hiphop,rap",Roc-A-Fella,0.626,0.912,7,-8.758,0,0.426,0.174,1.08e-6,0.149,0.579,174.57,4,east
spotify:track:65b9yKBAWxOVXyeuQrGypA,Sneakers,Immobilarity,Raekwon,1999-11-15,181493,29,TRUE,m-airon,2024-11-11T17:48:22Z,"east coast hiphop,old school hiphop,hardcore hiphop,hiphop,boombap",Epic,0.854,0.784,10,-5.176,0,0.402,0.17,0,0.352,0.674,90.069,4,east
spotify:track:1kHPOtD1fo3kWOgcs0oisd,Verbal Intercourse (feat. Ghostface Killah & Nas),Only Built 4 Cuban Linx...,Raekwon;Ghostface Killah;Nas,1995,211840,46,TRUE,m-airon,2024-10-14T08:49:06Z,"east coast hiphop,old school hiphop,hardcore hiphop,hiphop,boombap",RCA Records Label,0.814,0.663,1,-7.446,1,0.355,0.296,3.39e-6,0.16,0.52,93.014,4,east
spotify:track:4Aujn3OS6bSqprR2UVGlfy,Yoke the Joker,Naughty By Nature,Naughty By Nature,1991-09-03,313640,43,TRUE,m-airon,2024-10-08T04:53:51Z,"old school hiphop,east coast hiphop","Tommy Boy Music, LLC",0.917,0.607,4,-15.522,0,0.325,0.003,0,0.116,0.651,94.063,4,east
spotify:track:3gkklhEyCpxAprP6mYc0jq,Da Heatwave,E Double,Erick Sermon;50 Cent;N.O.R.E.,2018-06-10,243426,29,TRUE,m-airon,2022-04-15T20:46:37Z,"east coast hiphop,old school hiphop,reggaeton",Def Squad,0.768,0.641,3,-8.177,1,0.464,0.171,0,0.148,0.88,92.679,4,east
spotify:track:3x6QCo3LClrqiJF19w8daE,Did You Ever Think (feat. Nas) - Remix - Radio Edit,The Essential R. Kelly,R. Kelly;Nas,2014-05-19,242533,43,TRUE,m-airon,2024-12-23T09:24:18Z,"r&b,old school hiphop,east coast hiphop,hiphop",Jive/Legacy,0.86,0.604,6,-5.841,0,0.185,0.221,5.12e-5,0.114,0.874,95.094,4,east
