Track URI,Track Name,Album Name,Artist_Name,Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1AHfovSnGPVYKaahRtA0U6,"The Message","It Was Written","Nas",1996-07-02,234093,62,true,m-airon,2019-04-05T00:22:29Z,"old school hiphop,east coast hiphop,hiphop","Columbia",0.614,0.543,5,-7.178,1,0.374,0.00776,0.0000328,0.383,0.485,178.422,4
spotify:track:2g8HN35AnVGIk7B8yMucww,"Big Poppa - 2005 Remaster","Ready to Die (The Remaster)","The Notorious B.I.G.",1994-09-13,252746,81,true,m-airon,2019-04-04T23:52:24Z,"old school hiphop,gangsterrap,east coast hiphop,hiphop","Bad Boy Records",0.78,0.575,9,-7.247,0,0.273,0.43,0,0.143,0.773,84.492,4
spotify:track:5HdZE8e4PPwEvDZuhJlfFg,"The Ruler's Back","The Blueprint (Explicit Version)","JAŸ-Z",2001-09-11,228626,48,true,m-airon,2022-03-27T17:28:13Z,"hiphop,east coast hiphop,rap","Roc-A-Fella",0.51,0.721,2,-6.97,1,0.413,0.00655,0.00000182,0.0362,0.416,92.163,4
spotify:track:6RtiYzLt3CeA9tpKvK5PxY,"Keep your Eyes on yours","Rare","50 Cent",2003-10-15,245826,0,true,m-airon,2019-04-05T00:10:17Z,"old school hiphop,east coast hiphop","Famous Records, Corp.",0.782,0.48,11,-12.113,0,0.361,0.00772,0.00000102,0.0951,0.634,90.688,4
spotify:track:3Y6XWs8xMlCngyIxNOFnsp,"Sound of da Police","Return of the Boom Bap","KRS-One",1993-09-03,258506,63,false,m-airon,2022-04-21T22:41:52Z,"old school hiphop,east coast hiphop,hiphop,hardcore hiphop","Jive",0.794,0.95,1,-8.78,1,0.294,0.124,0.0000771,0.133,0.324,94.984,4
spotify:track:7zwNX8it4VPcycl8QUYiVp,"React","Shut 'Em Down","Onyx",1998-06-02,249760,34,true,m-airon,2022-04-15T20:44:38Z,"east coast hiphop,hardcore hiphop,old school hiphop","Def Jam Recordings",0.908,0.785,1,-9.078,1,0.341,0.00998,0,0.366,0.658,104.491,4
spotify:track:4h5KBcltGefua73AUPYps7,"Izzo (H.O.V.A.)","The Blueprint (Explicit Version)","JAŸ-Z",2001-09-11,240626,57,true,m-airon,2022-03-27T17:28:21Z,"hiphop,east coast hiphop,rap","Roc-A-Fella",0.618,0.844,1,-4.051,0,0.342,0.0178,0.000126,0.0634,0.697,84.411,4
spotify:track:0SlljMy4uEgoVPCyavtcHH,"Self Conscience - Dirty Version","Nas & Ill Will Records Presents Queensbridge the album","Prodigy;Nas",2000-11-06,195293,44,true,m-airon,2022-04-13T11:31:58Z,"east coast hiphop,old school hiphop,hiphop","Columbia",0.829,0.614,1,-8.546,1,0.267,0.0666,0.00085,0.0975,0.496,90.924,4
spotify:track:6DPrhGVJ1WTZvM9fKptnGe,"Represent","Illmatic","Nas",1994-04-19,252596,64,true,m-airon,2019-04-05T00:22:19Z,"old school hiphop,east coast hiphop,hiphop","Columbia",0.708,0.832,1,-4.964,1,0.318,0.02,0.0000028,0.189,0.618,92.428,4
spotify:track:1Z7C8ClE8UEaH70jCCeJH2,"Ten Crack Commandments - 2014 Remaster","Life After Death (2014 Remastered Edition)","The Notorious B.I.G.",1997-03-04,204026,65,true,m-airon,2024-10-23T05:54:06Z,"old school hiphop,gangsterrap,east coast hiphop,hiphop","Rhino Atlantic",0.612,0.85,1,-4.703,1,0.5,0.0393,0,0.255,0.781,173.497,4
spotify:track:15LVUC45FiKlBp0wkmJkcv,"Niggas Bleed - 2014 Remaster","Life After Death (2014 Remastered Edition)","The Notorious B.I.G.",1997-03-04,291040,55,true,m-airon,2024-10-23T14:23:29Z,"old school hiphop,gangsterrap,east coast hiphop,hiphop","Rhino Atlantic",0.541,0.847,1,-3.386,1,0.264,0.354,0,0.231,0.546,83.778,4
spotify:track:7tDbbfzB1d52lWP8rq8zRZ,"Pump It Up","Joe Budden","Joe Budden",2003-06-10,251373,63,true,m-airon,2022-04-13T11:54:32Z,"","Spit Records",0.484,0.847,6,-5.042,1,0.349,0.0373,0,0.118,0.67,105.048,4
spotify:track:2kEGpCg4Xj5LtVL4AWPJ8C,"Fuckin' Wit' D","It's Dark And Hell Is Hot","DMX",1998-05-01,138026,46,true,m-airon,2022-03-27T08:35:13Z,"east coast hiphop,old school hiphop,hardcore hiphop","Def Jam Recordings",0.88,0.796,2,-4.918,1,0.287,0.116,0,0.151,0.834,100.782,4
spotify:track:1lnqjCZfobpQe6DXURSvzn,"Bring Your Whole Crew","Flesh Of My Flesh, Blood Of My Blood","DMX",1998-12-22,220533,50,true,m-airon,2022-03-27T08:41:20Z,"east coast hiphop,old school hiphop,hardcore hiphop","Def Jam Recordings",0.872,0.67,7,-8.909,1,0.269,0.112,0,0.248,0.272,96.774,4
spotify:track:5czjjnbTatyFal33a9h1aN,"Guess Who's Back","The 18th Letter / The Book Of Life","Rakim",1996-11-04,250906,55,false,m-airon,2019-04-04T23:57:24Z,"east coast hiphop,old school hiphop,hiphop","Universal Records",0.796,0.798,6,-7.456,0,0.262,0.0153,0,0.106,0.692,94.016,4
spotify:track:3ABG1UQTk0eLYUAeWkmfMi,"Shimmy Shimmy Ya","Return to the 36 Chambers: The Dirty Version","Ol' Dirty Bastard",1995,161400,67,true,m-airon,2019-04-05T00:49:46Z,"east coast hiphop,old school hiphop,hardcore hiphop","Rhino/Elektra",0.814,0.481,0,-5.183,1,0.245,0.097,0.0000383,0.0495,0.193,96.252,4
spotify:track:1SyQ6t9RdRBK0QUCS6a797,"Hip Hop Hooray","19NaughtyIII","Naughty By Nature",1993-02-23,267266,68,false,m-airon,2022-04-13T11:21:15Z,"old school hiphop,east coast hiphop","Tommy Boy Music, LLC",0.862,0.642,6,-13.652,0,0.101,0.102,0,0.272,0.765,99.2,4
spotify:track:3bOvAqhaZNSWpGVIvHEx8B,"Everyday Struggle - 2005 Remaster","Ready to Die (The Remaster)","The Notorious B.I.G.",1994-09-13,319320,58,true,m-airon,2024-10-23T09:43:22Z,"old school hiphop,gangsterrap,east coast hiphop,hiphop","Bad Boy Records",0.913,0.712,1,-6.455,0,0.265,0.0643,0.00176,0.117,0.449,96.145,4
spotify:track:02xhZhWcgS26FWoMUZdSg2,"Brick City Mashin'!","Doc's Da Name 2000","Redman",1998-12-08,190640,42,true,m-airon,2022-03-27T08:41:13Z,"east coast hiphop,old school hiphop,hiphop,hardcore hiphop","RAL (Rush Associated Label)",0.837,0.779,1,-5.488,1,0.48,0.164,0,0.338,0.806,93.921,4
spotify:track:5xMNsdeGt9sSfWWRzoHPCw,"One","Supreme Clientele","Ghostface Killah",2000,226333,0,true,m-airon,2019-04-05T00:00:22Z,"east coast hiphop,hardcore hiphop,old school hiphop,hiphop","Epic/Razor Sharp Records",0.755,0.702,11,-7.022,1,0.216,0.0254,0,0.0809,0.501,89.62,4
spotify:track:3F3R4uyTMkX9jRCEVVmdz6,"Bring The Pain","Tical","Method Man",1994-11-15,189760,59,true,m-airon,2019-04-04T23:58:27Z,"east coast hiphop,old school hiphop,hiphop,hardcore hiphop","Def Jam Recordings",0.835,0.456,6,-10.195,0,0.266,0.381,0.00364,0.16,0.225,101.889,4
spotify:track:33rsCCLHklTQav9klbpnAi,"Warning - 2005 Remaster","Ready to Die (The Remaster)","The Notorious B.I.G.",1994-09-13,220440,64,true,m-airon,2024-10-23T08:27:15Z,"old school hiphop,gangsterrap,east coast hiphop,hiphop","Bad Boy Records",0.596,0.791,11,-7.582,0,0.476,0.345,0.0000142,0.136,0.399,171.919,4
spotify:track:4anqYZt4APNlFwQixpbdZR,"Da Rockwilder","Blackout!","Method Man;Redman",1999-01-01,136093,66,true,m-airon,2019-04-05T00:00:53Z,"east coast hiphop,old school hiphop,hiphop,hardcore hiphop","Def Jam Recordings",0.612,0.659,6,-6.995,0,0.406,0.0137,0,0.417,0.392,99.139,4
spotify:track:7k9XAKJp28xmRnPPCkWOKn,"Realest N*ggas","Bad Boys II","Notorious B.I.G. & 50 Cent",2005-04-20,212560,0,true,m-airon,2022-04-15T20:49:45Z,"","Bad Boy Records",0.903,0.728,6,-3.983,1,0.322,0.397,0.00000266,0.157,0.817,95.67,4
spotify:track:1kHPOtD1fo3kWOgcs0oisd,"Verbal Intercourse (feat. Ghostface Killah & Nas)","Only Built 4 Cuban Linx...","Raekwon;Ghostface Killah;Nas",1995,211840,46,true,m-airon,2024-10-14T08:49:06Z,"east coast hiphop,old school hiphop,hardcore hiphop,hiphop,boombap","RCA Records Label",0.814,0.663,1,-7.446,1,0.355,0.296,0.00000339,0.16,0.52,93.014,4
spotify:track:0svl7cK07gK1ia5ainczU5,"Break Ya Neck","Genesis","Busta Rhymes",2001-11-13,231240,3,true,m-airon,2019-04-04T23:57:45Z,"east coast hiphop","J Records",0.82,0.809,4,-6.759,0,0.251,0.443,0.00175,0.0613,0.737,83.011,4
spotify:track:4WMBl2wiGUSGa5C7tfQEAo,"Doin' It","Mr. Smith (Deluxe Edition)","LL COOL J;Leshaun",1995-11-21,293933,60,true,m-airon,2019-04-04T23:59:50Z,"old school hiphop,east coast hiphop","LL Cool J.",0.801,0.55,10,-11.044,0,0.209,0.367,0.0229,0.117,0.61,94.992,4
